Titile,Review
things change,"As Jet blue upgrades their planes the seats get smaller and the services before gettin on plane seem to be much less. Very strict all of a sudden with carry on bags, in terminals staff not as friendly as before. The planes are newer, the seats are smaller and the tv when"
"Excellent, as Always",JetBlue is always a great flight. flight attendants on and off the plane are always very nice and helpful. The snacks are delish and TVs almost always work. Too bad you control the people who sit in front of you who feel the need to have their seats resting in your lap.. but
New Standard to flying,"It seems that smaller cabins and less amenities is the standard for flying. JetBlue seems to do this standard the best. better food options. Good TV, Music and WiFi. Their staff is very friendly and always cheerful. The pilots were super nice and made themselves available for"
Consistent good service,"I was flying from the Dominican Republic to New Yorik's Kennedy, non stop. The ticket agent, the gate agent, and the flight attendants were all friendly, smiling, helpful and courteous. I needed a little extra help boarding, no problem. I needed help putting my rollerboard in"
My first JetBlue experience,"On time and even got in a bit early. Inflight crew was friendly and helpful. Overall, an excellent flight!"
Best customer service ever received,I missed my flight due to customs control error and they let me board the next flight and made a connecting flight with a 15 min transfer gap! They also made sure my bag was on the very next flight. AMAZING!!!
Avoid JETBLUE!!!,Three flights in a row with significant delays 1.5 + hours. Each time we have been told it’s a mechanical error. Hmmmm... not feeling too safe with this airline anymore. BYE JETBLUE
Comfortable!,This was my first time flying with JetBlue and I was very pleased! I think the seats were pretty comfy and spacious. The flight attendants were pleasant. Trip was on time. Pilot announcements to update on time of arrival. Nice to have the entertainment system on seat back
Family trip to Florida,Seats a little more roomier then other airlines. Bring earbuds to listen to tv they have for free. No complaints
Always great,"Flew roundtrip from FLL to Lima, Peru. I always take advantage of the upgrade to the More Space seats. You get first boarding and the legroom is at least double of normal seats. They offered snacks for sale on the way out, which were quite good. Be sure to bring your own"
Upgrade,"Used frequent flyer miles for this trip. When I arrived at the gate I noticed I had no seat assignment. I went up to the gate agent and told her this. She asked if I was willing to help in the case of an emergency, I said yes. I received the exit row by myself and the window"
"Nice staff, nice flight","The staff was very polite. They made the flight pleasurable. I recommend JetBlue for service and great entertainment....as well as good snacks! The inflight entertainment was great. A lot of good choices of tv programs , movies and music. The staff all the way from checking in"
Best airline,"I traveled for two days. The staff were very friendly and helpful. The only thing I do not like, is the food (snack) they serve. For being at the airport for so long and on the plane, that’s not a healthy food to have. Other than that, the staff is great!!!"
Not As Good As It Was,"Jet Blue was always our go to airline. Last few flights not so much. Three of the four were delayed They started out not charging for luggage. Now they try to $35 per bag, more than other airlines. Our last flight we were taxiing for takeoff, then the captain announces we have"
Excellent experience every time.,"My Wife and I always fly Jet Blue, if we can. They have always treated us great! I love that you actually get leg room, as I am 6’1” tall and not a small guy by any means. We love the personal TV’s to make the flight enjoyable, and my wife loves the snack choices."
JetBlue is Jetblue,My wife and I traveled for the fist time ever to Las Vegas for my birthday in June of 2018. Jet Blue was the usual Jetblue. We flew from Boston connecting thru Kennedy in New York. The first plane Boston to NY was older with my TV screen not working. The second plane NY to Las
Poor results on recent flight to Portland Oregon,"Weather delays on Sunday 3/10/19 would have caused missed connection. Their next flight to PDX was not until Wednesday, JetBlue refused to reimburse Monday $363 flight on American only allowing $50."
Love this airline,Always travel with jet blue when it’s available on the route we take . And always take mint class when available . The service is impeccable on board and the Check in staff were amazing . We had a connecting flight and the first flight was delayed due to weather and they did
Jet blue is fabulous,This is very inexpensive direct flight to and from Boston/Houston. I highly recommend it to go anywhere in and around Houston. We booked it to take a cruise out of Galveston.
Mint Class from JFK to Barbados,"Me and my husband both flew Mint for the first time. Our flight departed at 7:22am. We got to the airport at 5:15am, and quickly made our way over to the Mint counter with Zero line. The priority line for security check was pointless at that hour because there was no line at"
Trubulence WHO????,This flight was the worst so much turbulence. I was horrified it was from beginning to end and left me for two days with the worse headache ever.
Jetblue doubts,I always fly nervous as long as it goes to where a need to fly. I've only had weather related issues. Staff are always polite and professional.
Great local flight and no hassle to bring sports equipment,I flew Jetblue for a recent trip between Boston and DC. The flight was great even and the flight attendants were always on hand. I took a ski bag as my one checked bag and it was no problem at all. The bag contained circus / juggling props and the Jetblue counter didn't blink
Best Direct Flights to Mexico!!!,"Fast, great service with free movies and snacks!!! Easy to pick seats, luggage is quick pick up and flight attendants are always fabulous!"
Always worthwhile to only fly direct with JetBlue,"I love JetBlue, I will always choose JetBlue over any other airline whenever possible. They always make sure that my young family is sitting right next each other and have always went out of their way to accommodate us. I specifically am always looking for direct flights and"
"good service ,good price","good space between chairs ,no delays , free beverages and snacks , old aircraft , but good price/value"
"JetBlue is our #1 go to airline,","JetBlue is our #1 ""go to"" airline, from check-in, to baggage check-in, to boarding, everyone who works for the airline is incredibly helpful, courteous and organized. Even with a late start, we arrived on time. I trust JetBlue with flying my family."
Destination wedding,"The flight attendant was pleasant and polite, he made everyone feel special. He remember travelers by their names and would chat with them. It was a great flight experience."
DO NOT USE EXPEDIA!,"This is more a comment about Expedia than JetBlue, but there was no option to complain about Expedia. We had a JetBlue flight booked from Portland to Anguilla for a wedding that was booked in October 2018. The flight was cancelled in November 2018 as JetBlue stopped serving"
"Don't fly them often, but am usually satisfied",We were completing a round trip to/from Aruba. Jetblue is one of the discount carriers that I would try to book vs. some of the others. The overall flight experience is pretty good. You are on Jetblue because you want to pay a fair price and still be comfortalbe. The flight
Unceremoniously dumped at a different airport & deserted,"The ticket I purchased was to take me from Ft Lauderdale to Westchester County Airport in NY. When we got there, it was fogged in so they took us to JFK (35 miles away & 70 miles from home) - & stranded us there. We were told our trip was over & go find a cab/Lyft/Uber. The"
ARUBA,"In general , wonderful flight. Seats, not so comfortable for a long flight. boarding was painless and having a Jetblue card may purchases easier on flight. flight back also good."
"Palm Springs, CA to JFK, NY","Took a ""redeye"" flight on JetBlue on Friday April 19th from Palm Springs, CA Airport for the first time and it was the easiest, best flight ever. No more dealing with LAX and LA traffic nightmares trying to leave on a trip or returning from a trip. I was able to upgrade to the"
Better than expected,I got this flight out of San Diego because of price and was expecting a very uncomfortable seat but i was surprised that the seating was not bad. And we got free Wifi all the way through.
Smooth,"Extremely easy check in process, smooth flight that arrived ahead of time, great variety of beverages and food items (both free and for charge)."
first time on this airline,this was my first experience on jet blue and was pleasantly surprised. very comfortable seats and it was great to get a snack and refreshments without having to pay wish they had more direct flights from cleveland would definitely use more often if they did
Made me sick,I’ve been a loyal customer to Jet Blue for over 4 years. Taking as many as 5-7 ROUNDTRIP flights /year. Before my recent travel experience less than one wk ago I would have given them a 5star review. I traveled last week from Fort Myers to Boston. I had called the airline one
A very good experience,"First time we flew JetBlue and we had a very good experience. The crew was welcoming and attentive to our needs. We were a bit late taking off due to some medical emergency on the plane’s previous flight, so the pilot apologized to everyone. While most economy classes have no"
Amazing!,"First time I've ever flown JetBlue. Wow. This is what it's like to have a good airline experience again! The staff was great. Seats were pretty comfy. Yup, I will fly with this airline again."
Nightmare,Waited with boarding passes to check car seat 1 hour. Was not a option to check car seat on the kiosk. Waited 45 minutes to go through security. No seats available to sit at gate due to many being broken. Check picture.
Excellent Red-Eye to FLL,"This was the 1st time we chose to fly on Jet Blue. The service is very good. The in-seat entertainment was plentiful, but don’t forget to bring your own earphones or headphones because otherwise you will need purchase them during flight for $10/ea. All the family members were"
Long weekend in the sun,"As usual, we had a very positive experience with our JetBlue flight. The flight was on time and landed a little early. The crew is always pleasant. We fly Jetblue when ever possible."
"Love the seats, not the policies","The flights both ways were delayed 2 1/2 to 3 hours--once for weather and once for no given cause. On one flight, the reading lights did not function. The seats were comfortable and the staff was pleasant, but not so much as a glass of wine was offered at no cost. The airline"
First Timwe Fave!,"First time , and had a great trip both ways. Will definately book JetBlue when it is and option for future travel."
Still one of my favorites,"A lot has changed in the airline industry over the years. Remember when planes got more spacious? Well, not more. Back to the days of cramped seats and narrow aisles. However, with JetBlue, what they lack in interior space and food offerings they more than make up for in"
Poor cleanig and hygiene,Got onboard this full flight. My tray table appeared to have human excrement on it as well as my neighbors screen appeared to be covered with the same material. Onboard staff appeared uninterested as in it is someone else's job...
Mrs.,This is the first time I have given any company a bad review. I always try to sympathize with the employees and give them the benefit of the doubt. This time it's different. We planned and paid this trip 5 months ago. We were going to go to my cousins wedding and my son was
Fraudulent ticket sales,"My first time flying with them today, I was sold two tickets next to each other and instead was given two middle seats instead of the seats we purchased, and have confirmation proof of via email directly from JetBlue. HORRIBLE customer service when I inquired. Don’t sell turds"
Jetblue sucks,"DO NOT TRAVEL BY JETBLUE! I lost my cabin luggage, which I checked in at the boarding gate area at the request of the flight attendant at the time of boarding. My flight number is 134, SFO to Boston. I already put a complaint with JetBlue baggage loss but I keep getting"
Great Airline,Great Airline the plane was very clean. Helpful staff and crew. Great little snacks and drinks. Would recommend.
1st Time Flier - Loved It - Flashback to Flying in the 80's and 90's.,Used to fly a lot prior to 9/11. Then the added headaches of security (agree it's necessary) and the new attitude of airlines about charging for everything changed my attiutide about flying and I fly very infrequently. Usually on one of the legacy carriers or low end. Finally
On time,On time both ways what more do I need to say. Flight crew very cordial saw to your needs. They got us boarded quickly as to avoid the storm front approaching
pleasant trip,We took Jet Blue..not my usual airline..to Aruba because they offer nonstop flights to and from Boston. On the way down we paid approximately $80 per person extra for seats with more legroom. We did not on the way back..we were in regular economy. None of our party is tall so
Nice trip,"Price is good, flight attendants are very kind. They took out on time. Spacious seats even in economy class. We took out from Mexico City and the crew were very kind with me and my kids. Defenily I recommend to fly with them."
Most leg room and comfy seats!,It was my first JetBlue flight and not my last! The experience was great. Seat are very comfortable and prices great. It's my CEO's preferred airlines.
flight,"great flight, wonderful cheerful service from all throughout entire process from arrival at airport to flight taking off. Quick to obtain things I asked for on flight. Personally we would have preferred more leg room at seats ( but no airline does this unless fly business"
Not great,"I was booked on a business class ticket with Aerlingus and only found out a few days before that JetBlue had no such class, was quite annoyed because this meant no lounge access at Atlanta as JetBlue don’t have a lounge, no meal, no champagne, nothing that I had paid cold hard"
Excellent,"Great, comfortable smooth flight. We were asked to change our seats to the exit row as there were many children on this flight. So we ended up with the extra space seats. I'm not a great flyer, but this fight really was smooth. We love Jetblue and prefer to fly with them."
Disappointed,Broken television screen...unhelpful flight attendant...flight kept getting further and further delayed...not a good experience...no barf bags by the seats!
A Fine Flight,"I have taken this flight numerous times and it's usually very good. From time to time there a small problems (sound tv, lack of the right drink or sandwiches, etc.0 but nothing major. Knock wood it's never been late."
No Pilot,"Arrived at the airport at 11am for a 2:20 Flight, at 1:30 noticed the board changed to delayed. Inquired because there was no announcement. Told no flight crew. Purposely purchased direct flight because there was 3 babies in our group, paid 1100 for flight, delayed until after"
Easy,Easy flight less than 2 hours on time. They did however put the car seat in a different location than the luggage which I wasn't happy about going searching for it but it was right there once I found the office
Don’t let the bad guy on board.,A late overnight flight and no Mint seats. Very seedy guy was behaving strangely in the boarding area. Dressed badly with his pants hanging down to his knees (guess it’s some kind of fashion statement ) he kept counting the money in his wallet time and time again. He was
great airline,As always Jet blue is a great airline. Service is wonderful plane was brand new and only sometimes wish they would offer more than one snack.
Great Flight - Great People!,"As always the people on jetblue treat me phenomenally! (now I am Mosaic, so that helps! :)) But it makes it so worth flying with them as much as possible. This was a newer plane so the technology was great. (older planes seem to have a lot of tv and wifi issues lately) The"
AUDIO VIDEO FAIL!!!!,"HOW ON EARTH DID THE AUDIO VIDEO CONTROLS ON THE ARM REST EVER PASS EVEN THE MOST BASIC DESIGN REVIEW? The controls for the entertainment system are on the ARM REST! Are you kidding me? This should have not passed even the first review. And it got built???? Design FAIL! "
The staff worked hard to help me,"Originally when I bought my ticket, I only had a 1 hour layover in Boston but the airline changed the flight times so that I ended up with an 8 hour layover. I wasn't thrilled since I was traveling with a 3 year old. We got into Boston early and RAN to the gate where there was"
Behold the Professionalism,Flight 479 April 18th 2019 10:16 am. Flight attendant Tasha made my flight comfortable and enjoyable. She may have noticed I was a little anxious and came over to assure me we will have a great flight. She then noticed my sweatshirt The great Norfolk State University... come to
The BEST,From their legroom to the comfortable seats to the best entertainment on a domestic flight. Always great selection of flights at competitive prices.
JetBlue is a DEFINITE Airline to Fly!,JetBlue is an Airline that works well! We always avoided JB because we considered them to be a no frills airline. We were wrong! JB is a definite contender to become the dominant player. It service is awesome. The planes are great and very comfortable. The Flight Attendants
On time when I fly,"When I do fly JetBlue, the pricing us usually OK but the employees have been great from the agent checking in bags to the agents assisting the passenger check in and of course the pilots. Being a pilot myself, I'm quite aware of what's going on in the cockpit and the overall"
when it's time to fly - we fly Jet Blue!,Flying scares the heck out of me - but at the same time I LOVE to travel...so when its time to fly - I fly with an airline that I can rely on to make me feel comfortable and most of all - safe! I absolutely love when the pilots talk you through the flight to keep you informed of
I hated flying until JetBlue,"This airline has it's crap together. Got it going on. Air travel is one of the most difficult industries for a company to differentiate itself, unless corporate understands some basic things: Use the same aircraft company-wide, treat people like humans and not cattle,"
RUDE EMPLOYEE,Although I have used Jetblue in the past (and pay higher prices then most airlines) …... however we encountered a Very Rude Employee when checking in at the Gate in Ft Lauderdale … this is the first time I have ever had to complain about an Airline Employee on a flight.(and I
Best value!,"The most legroom I have ever had in an economy seat! Unlimited snacks and drinks, plus the flight staff were incredible. I will be flying JetBlue again. :)"
Everything but sleep...,"This flight had it just about everything but i couldn't sleep. It had wifi, tv and great attendant service. The flight was shorter than expected and the pilots made it as comfortable as possible with very minor turbulance. Didn't even feel it land. The only thing i had a"
Poor customer service,"I was supposed to travel to Phoenix Arizona for the birthday of my girlfriend and two weeks before the flight we received a call from Argentina, our country of origin, saying that her dad was discovered with Leukemia and that he only had a few chances to survive. Of course, we"
Best American airline I've travelled with thus far !,"Since I've discovered Jetblue from Sint-Maarten to JFK, I've literally stopped traveling with American Airline. I love the service on board Jetblue Airlines, the staff is warm, professionnal, snacks are a plus. The staff went a long way to take my mind off of my fear of"
New York,I have always appreciated Jet Blue. They are a great company. They offer LOTS of options and times. I have traveled a fair amount this month. 11 flights 15 days. 5 different airlines. If I can find a flight on Jet Blue its always a good choice. This particular flight was
Easy direct flight,"I like flying JetBlue. The direct Syracuse to Orlando flight is perfect; I wish they offered it more than once a day. They have more legroom than some other airlines I fly, and I like the tv's for every seat."
LGA to FLL 04/25 Flight 1371,"On time service = A+, inflight service = A-, terminal = B- (limited amenities) if you need to wait, just one food vendor) and no other options to keep you occupied. Check-in agents F, period. The most inattentive, uncaring, and inhospitable people I have ever experienced on Jet"
Queen of the Skies--good to their people,"Unfortunately this flight got delayed by several hours. Before leaving home, they immediately sent out text and emails with the delay. At the airport, the Ground Crew greeted us with apologies and were transparent about why--explaining the technical problems. While we waited"
Great service,"Non-stop connection from CUN to JFK. And then I took a quick flight from EWR to BOS, and back BOS to CUN with a non-stop flight again. It is so easy and convenient to fly JetBlue. I like the space between seats and I am not that tall. I did not like that I could not change"
8 hour delay,I Purchased a more expensive ticket just so I can fly out at 5 AM. That flight was canceled last minute and the new fight Was scheduled to leave at 11 AM. That fight What then delayed for another 2 hours For a total of an eight hour delay. My family and I were then placed in
Jet blue service for disabled,I am disabled and travel with a scooter. I was nervous about taking it in s plane for the first time but JetBlue was so accommodating I was quickly put at ease. I filled out a pink tag for the scooter and was taken in the plane first. I was allowed to drug it right to the door
Ok,Ok trip on JetBlue. Really wish they would enforce the baggage policy. Plane was small so they had to check a bunch of the large bags and people don’t seem to understand what “1” carry on and “1” personal item mean. Anything to avoid the free! Just ended up taking extra
Consistently pleasant travel,"Just flew round trip from NYC-JFK to San Jose, CA. I opted for the even more space seat near the front of the plane. The bulkhead seats are nice except you have to stow away your larger items during takeoff and landing. Not a really big deal but for some it might be a bigger"
Another wonderful JetBlue experience,"Another on time flight, helpful and kind flight attendants and a smooth flight. I fly JetBlue with my children and everyone has been so kind. The seats are roomy and I really have no complaints."
Flight issues,"My flight was scheduled to leave Denver for Boston on 4/12/19 at 10:30pm. Due to weather the flight was delayed until 1am and delayed until 2am . At 1am, it was announced that the fight was cancelled due to pilot fatigue & would re- book everyone for a flight at 12 noon the next"
Best fligth ever,"We traveled to San Juan from Bradley International Aiport CT. The service was excellent.. the fligth was ahead of schedule and was a quite and smooth ride.. We love JetBlue! We wish we could have more JetBlue fligths out of Albany,NY.. our only options right now is to travel"
Great Counter Service in DCA,We had a big delay for our Hartford Trip but the counter people at Jet Blue CJ and Rubin were very understanding and courteous. Our Orlando based flight attendants were fabulous. Free WiFi and entertainment. Great DCA management by Mr Waldron and Ms Marvella.
Great flight,"Excellent service, on-time departure and arrival, really nice staff. JetBlue is one of my favorite airlines."
Spring,I was totally pleased with everything jet blue had to offer from online checking process to staff at airport and on plane. Hats off to JetBlue.
Self Service Airlines,"First: After waiting half hour past takeoff time, we were told the plane was too heavy to take off (from Burbank's shorter runways). They had to dump 1600 pounds of fuel...which took another hour. We now can take off but with the dumped fuel we cannot make it to New York, so"
Lots of leg room,I prefer JetBlue airline because of the extra leg room. I’m 5’8 and can cross my legs! I don’t squirm or feel cramped at all. I like their snacks better. You get the entire can of soda and choice of chips/cookies. And you can have seconds until they run out. I’ve flown
Delays & Cancelations,"I used to love jetblue like 2 years ago, but since they have decided to start delaying flights with little to no information then cancelling them. They don’t cancel them until they have delayed them more than like 8 hours and the people at the front desks know no information"
First time flying Jet Blue and the last time,"We took a party of 33 students and 13 adults to Washington for a school trip. We flew Jet Blue across the US- over 6 hours in the air and we departed JFK at dinner time. We told our large party to order food on the plane to save time. When they came to take our order, they"
Gate agent was either lying or ignorant,"Flying red-eye from Vegas to Boston to run the marathon. We noticed that my seat was listed online as ""non-reclining."" Asked the gate agent about switching. ""Oh no,"" he said, ""that seat will recline."" He gave us the option of paying more to switch to a different class, but"
Don't upgrade,"Although we paid for the upgrade to more leg room, the seats did not recline, so were not very comfortable on the red-eye... all else was good (service, and crew)... just not worth the extra fare..... When we fly home we did not upgrade the seats, and found that the legroom in"
difficulty boarding plane due to aircraft substitution,I suffer from very painful knees (left near to needing a knee replacement) as well as severe low back problems. The original aircraft was replaced with a lower plane that could not be used with the usual jetways. You were required to climb a stairway to board onto the plane.
Flight to Bermuda,"Our actual flight to Bermuda was fine on Jet Blue, however, we sat on the plane for over 2 hours. After we boarded the plane, we were told that the plan had been to redirect us to Virginia due to bad weather in Bermuda. We thought this was odd since we never received a message"
Upgrade worth it,Both depart and return flights went well left on time. The service was good as expected. Nothing unique compared to some other airlines in its class. I upgraded our seats in both directions cost my $70 er person each way I took a carry on saved a bit there. The upgrade although
"One Up, One Down","JetBlue to Aruba is nonstop! The fun begins when leaving Boston in January in flip flops and shorts. JetBlue is flawless about letting travelers know of any delays, I have never gone to the airport and had to wait, their notification comes a day or two beforehand. Weather can"
Awesome trip!,"Flew between the U.S. and Jamaica. JetBlue employees are pleasant, efficient and always helpful. Had zero issues. Love flying with JetBlue."
Wonderful airline,"My husband and I love JetBlue. The plane was clean, staff very helpful and courteous. We choose Blue Plus because we have more leg room. The added bonus of a movie screen made the flight very pleasant."
Great trip!,"It was our first time flying with this airline, but we were impressed. Everything was on time, and I had lots of leg room! The snacks and drinks were great, and the flight was smooth. Glad I took a chance on flying with this airline!"
Mint Service,I had read about JetBlue's Mint service. I was not disappointed. We had two very attentive flight attendances. The food was good but a bit unusual. That is not uncommon for JetBlue. The seats fully reclined and the entertainment choices were very good. We received our
In transit to bahamas,"The service was great, flight was on time and very comfortable. Snacks are delicious especially the Terra chips."
Very Good Service,"Excellent service, clean airplane, Life TV is a nice touch. I find JetBlue to be the best domestic carrier in the US and will lean towards flying with them every time. Also terminal C in logan has a nice play area for the kids."
Excellent airline!,"We had great flights. The airplane was clean, roomy enough (and better than many) and friendly staff. Even when our return flight was delayed (not the airline's fault) they kept us apprised at all times and got us out even earlier than anticipated. Will fly JetBlue again!"
Great Service,"I do not like to fly so the anxiety I experience is more than someone who enjoys flying. The service and flights were great. Attendants were pleasant and helpful, Captains kept us informed of turbulence, etc. A good overall experience for a nervous flyer which I never mentioned"
jetBlue is my airline of choice,Overall a good experience. However we were in row 5 and they had already run out of chardonnay white wine. Which I found ironic since jetBlue was toting how they carried some new brand of wine that everyone was going to love. They should be better about restocking their planes.
Disappointed,I had an accident and fell injuring my knee on an escalator. I was seen by paramedics at Harrahs Casino on Monday April 15th. I had a gash in my knee and foot and had trouble walking. I had extreme difficulty getting to my flight on time. I showed up at the airport to catch a
JB Baggage & Boarding,"I like flying JetBlue...I typically get the extra space..they have friendly service with actual food and the tv's put them over the top. What I am questioning is the baggage fee. I get it, the ticket prices are lower and then you have to pay to have your bags checked..BUT if"
"Some Hiccups, Service Great Overall","After flying American Airlines for the last two trips to Orlando, we decided to give JetBlue a try based on their track record with individuals on the Autism Spectrum. While we had no issues with American Airlines, we felt more comfortable from what we read with JetBlue. Our"
Good Flight. TVs need updating.,The red eye flight is perfect. Leaves Reno at 11:40pm and gets you back to New York at about 8:00am in the morning. The flight and service was great for the most part. But I was told that they're only given about 5-6 of the sandwiches listed on the meal menu for a packed flight
Fantastic!,"Went to New York and back with Jetblue in Mint class and I'm impressed. I don't know of any American or European airline that comes even close to the level of service and attention to detail provided. Seats are comfy, nice inflight entertainment with the ability to stream Amazon"
Spring Break,"Love direct flights!! Quick security check in JAX even with the lines, good flights. Flight crew helpful, no complaints. Great free TV, movies,soda/water and snacks. Dont need anything else. Late leaving JAX but they made up the time."
Excellent flight as always on Jetblue!,JetBlue as usual was a great flight experience. The staff begins preboarding early enough to ensure no delays in boarding. Once in flight great legroom and ride in the air. Best of all. Direct flight! No stops.
Easy flight to and fro,"My wife and I had a good flight to Savannah and back, the only reason I didn't give a perfect score was because the flight was delayed but not that long. Both flights were smooth and we took advantage of the more room seats on the way back. Liked the WiFly and happy to have a"
Wonderful Airline,"We always fly Jet Blue and have never had a bad experience. This flight was no exception. They are always friendly and the seats are pretty comfortable. Plus, you get tv and great snacks!"
Consistently most legroom,"I always try to fly JetBlue - most legroom, pleasant attendants. I paid for extra legroom but didn’t need it. My one quibble is that they overdo the late announcements - on more than one occasion, a got a delay announcement when the plane actually wasn’t late!"
Great updated and modernized airplanes,JetBlue has new planes that exude many of the modern conveniences and comforts that travellers want. Really great flight crew on board. Seats very comfortable and excessively roomy with a new entertainment systerm per seat. They even have a free vending machine for additional
Vacation to. Nassau,"I flew on jet blue quite a number of times and have always had a great experience, the flight crew has always been so nice and the ease of boarding the plane. I have always had a great experience. I wish though on the morning flights there were donuts and bagels."
Mr. & Mrs powell,This was my first international flight with Jet blue. The crew was excellent. The only draw back is no free baggage check on. The flight was on time. The bottom line is getting where you going on time and that Jet blue surely delivers for me. The 5am flight it's the best.
New Default Choice Airline,"First time flying JetBlue. Have flown the other well known low cost airline many times. JetBlue service and amenities are far better. More legroom! After initial snack and beverage service, help yourself to snacks and beverages. Wow, hot towelettes at the end of flight! Very"
Easy Flight,"Non-stop flight from Boston to Phoenix round trip. Flights were on time. Full cabin. Flight attendants were professional, courteous and accommodating. Even though regular seats [not extra room] seats were comfortable. Cabin service included soft drinks, coffee, and snacks."
evening flight from Aruba to Boston,"As seems to be customary, we were delayed leaving Aruba. Once on the flight, the service was fine, and the seatback entertainment worked perfectly ( this is not always the case)."
Flight to NYC,"Have to say I was extremely pleasantly surprised here. I was told by a friend that these were more of a budget airline, but I have to say everything about it was great. Service, comfortable seats and we actually arrived. If only our budget airlines were this good"
Pleasantly surprised,"I was totally impressed with this airline from the check in, to the aircraft and the crew. The meals and entertainment were all wonderful. Sadly, I was delayed 4 hrs and nearly missed an international connection, and they didn't brief me on having to leave the terminal to go to"
Effiecient & comfortable as always,Jet Blue is always comfortable and time-efficient. The only snag on this trip was a half hour delay before takeoff. It seems that they couldn't get one of the restroom doors to close. By regulation the pilot was not allowed to fly until they could find a maintenance crew to come
Nocturnal flight,"Been at Boston flying in JetBlue was good experience, the return flight was better, than the initial since in that way the time waiting was more than 3 although they changed the time 2 months before. The service was good, but they only accepted credit cards, not cash. The sits"
Excellent Flight,"Extremely great service, the flight attendants where amazing and very friendly. The pilot was awesome!! Smoothest flight ever!!"
Nice flight,"we booked this flight a couple of months ago while JetBlue was having a special deal. this was a nice flight, they said the tvs were not going to work but they worked fine when we got on the plane. we were near the back of the plane, everything worked, pleasant flight"
Flight from Punta Cana,"Jet Blue continues ro impress my wife and me. We hope they start service to Europe sometime in the near future. The only complaint is that they do not let one make reservations in the distant future. We like to plan ahead and reserve hotel and airline, but can only reserve"
Amazing experience !,"We had our flight cancelled through spirit so we booked a new flight with jet blue. We had such a great experience with them. Comfortable seats, great leg room, lots of channels to watch, free wifi, free snacks and drinks ( non alcoholic) and the staff was very friendly. We had"
Travel,"JetBlue continues to soar in Air travel, providing service at an exceptional experience. Having traveled with this Airline for a number of years, it's been an opportunity to experience flying this airline in comparison to driving a Volvo XC 90. I know others would agree. The"
Surprised a friend,I have traveled on Jet Blue for many years. This trip I had to convince a friend that Jet Blue was the best as far as price and room in economy class. She had a large backpack that traditionally takes up all the pace under her seat. She gave me a huge smile when she realized
JetBlue to Jamaica,First time flying JetBlue and was impressed with the service including the friendly staff at the check in counters in all locations. The planes themselves are awesome. The self serve snacks was a plus as its the little things that keep you coming back. I will definatley fly
A basic flight,"The only one airline with a direct flight from Cancun to Orlando, has a basic service, The personnel in charge on land is not enough for the requirements of the travelers."
Love JetBlue but Hate the Recent Changes,I fly JetBlue all the time - it's my preferred airline and I always take it when I can for business. But two changes to the airline are the reason I'm not giving it 5 stars. 1st - I used to really prefer the way they boarded the plane. After all the specialty groups - they
Jacksonville to JFK 12/17/18 11:03 am,This was as seamless as Flight #677 from JFK a few days before. Flight attendants are always pleasant and helpful.
Only complaint was the headphones didn't work,The flight was smooth and on time which is really all that matters. The attendants both at the gate and on the flight were very nice and helpful. My only complaint was that my headphone jack did not work at all. I flew the same airline home and it worked in that seat but not
THE WORST EXPERIENCE OF MY LIFE!,"The long trip to Manila should have started with JetBlue Airways in Jacksonville, Florida. I have excess baggage that Larry and Mikayla were charging me $800 or I cannot get in the plane. All I have to do is get 2 lbs worth of items in one suitcase and put it in the other"
Terrible JetBlue!!!!!!!!!!!!!,My wife waited over 8 hours at Fll airport for a flight for a flight which kept being delayed.... the flight originally scheduled for 1100 am eventually left at 630 pm and JetBlue had the the nerve to say my wife missed her flight because she didn’t wait any longer for an 8 hour
Get flight,"Excellent service, flight, snacks. Inflight entertainment was great. Flight crew were helpful and friendly."
"JetBlue always delays, cancels flights, and it’s the worst airline of 2018. What’s wrong with JetBlue?",JetBlue lately has been delaying flights for the past 3 years. Every time I go to a JetBlue flight it gets delayed and I waste a day from seeing my family every time I go to PR. Back in 2015 it was my favorite and one of the best airlines in the US. But now they delay flights
JetBlue is just better,I fkew delta out west and JetBlue home. I would Take JetBlue over delta every time but I had No choice in the flights I needed. The Delta plane was so claustrophobic that I nearly had a panic attack! JetBlue is very smart to have no first class so that it can build room in to
Worst website,I am a frequent flyer for JetBlue travels every weekend from Jax to Boston. I love their service and quality of the flights. But I think they should keep an eye on their online site. It is one of the worst websites and doesn't make any sense. They won't allow using the last
"Don't count on JetBlue Mint - Paid double, got coach","Was looking forward to first class service when i splurged on Mint for my family of 4 on our recent vacation, traveling from New York to Barbados. After paying double, for Mint 6 months in advance. I went to check in for our flight a day ahead, and was shocked to find we had"
Very pleased with Jet Blue,4/16/19; I tried Jet Blue to St. Maarten and was very happy with the price and flight. I live near Daytona Beach so decided to drive to FLL for a 7:58 AM flight and parked at a Self Park near the airport. The flight was on time leaving and arriving. I strongly recommend Jet Blue
Massive mistakes and terrible customer service,Here is a little story of our epicly terrible day with jet blue. Ok 1st our flight was delayed in costa rica and when we finally arrived in fort Lauderdale jetblue was of no help and we had about an hour to get our bags (then hike to the terminal and check our bags as the
Great Flight!,"The ability to fly via Red Eye is still valued for scheduling purposes. The pilots and entire staff were very accommodating, and the leg room/seat size helps make the experience pleasant."
computers down,"We flew out Monday morning, delayed 1 1/2 hours due to Jet blue computer problems. No other explanation by the Airline"
